YEAR, ONE AIR POLLUTANT AND CONTRIBUTOR TO AEROSOLS SULFUR DIOXIDE-SSP1-1.9, ONE AIR POLLUTANT AND CONTRIBUTOR TO AEROSOLS SULFUR DIOXIDE-SSP1-2.6, ONE AIR POLLUTANT AND CONTRIBUTOR TO AEROSOLS SULFUR DIOXIDE-SSP2-4.5, ONE AIR POLLUTANT AND CONTRIBUTOR TO AEROSOLS SULFUR DIOXIDE-SSP3-7.0, ONE AIR POLLUTANT AND CONTRIBUTOR TO AEROSOLS SULFUR DIOXIDE-SSP5-8.5
2086,14.81481481481485,12.0,47.47252747252773,82.75862068965515,52.74725274725299
2087,13.33333333333337,12.0,46.15384615384642,82.75862068965515,51.42857142857167
2088,13.33333333333337,10.5,44.8351648351651,81.37931034482756,50.10989010989036
2089,13.33333333333337,10.5,44.8351648351651,81.37931034482756,48.79120879120904
2090,11.85185185185189,10.5,43.51648351648379,81.37931034482756,47.47252747252773
2091,11.85185185185189,10.5,43.51648351648379,79.99999999999997,46.15384615384642
2092,11.85185185185189,10.5,43.51648351648379,79.99999999999997,44.8351648351651
2093,13.33333333333337,7.5,43.51648351648379,79.99999999999997,43.51648351648379
2094,13.33333333333337,9.0,,78.62068965517238,42.19780219780247
2095,11.85185185185189,9.0,,78.62068965517238,42.19780219780247
2096,11.85185185185189,9.0,,78.62068965517238,40.87912087912116
