YEAR, LOW CONFIDENCE SCENARIO, SSP1-1.9, SSP1-2.6, SSP2-4.5, SSP3-7.0, SSP5-8.5
2075,0.4741379310345137,0.2702399999999892,0.7574999999999938,0.3121387283237342,0.3541266794625844,0.5103550295858061
2076,0.4885057471264673,0.2747199999999892,0.772499999999994,0.3179190751445433,0.3656429942418549,0.5236686390532617
2077,0.5000000000000302,0.2769599999999892,0.779999999999994,0.3265895953757569,0.3742802303263078,0.5192307692307765
2078,0.5172413793103745,0.2791999999999892,0.7949999999999942,0.3294797687861615,0.3857965451055783,0.532544378698232
2079,0.5316091954023281,0.2836799999999893,0.8099999999999943,0.3352601156069706,0.3944337811900311,0.5636094674556282
2080,0.5488505747126724,0.2859199999999893,0.8249999999999944,0.3439306358381842,0.403071017274484,0.5769230769230838
2081,0.563218390804626,0.2903999999999893,0.8324999999999945,0.3526011560693978,0.4145873320537545,0.5902366863905393
2082,0.583333333333361,0.2948799999999894,0.8474999999999946,0.3612716763006114,0.426103646833025,0.5902366863905393
2083,0.6005747126437053,0.2971199999999894,0.8624999999999947,0.3728323699422296,0.4376199616122955,0.6168639053254503
2084,0.6235632183908311,0.3015999999999894,0.8699999999999948,0.3786127167630386,0.4491362763915661,0.6301775147929058
2085,0.6350574712643939,0.3060799999999895,0.8849999999999949,0.3872832369942523,0.4606525911708366,0.6301775147929058
2086,0.6580459770115197,0.3105599999999895,0.899999999999995,0.3959537572254659,0.4721689059501071,0.6656804733727872
2087,0.6695402298850825,0.3127999999999895,0.9149999999999952,0.3988439306358704,0.4836852207293776,0.6789940828402428
2088,0.6896551724138176,0.3172799999999896,0.9224999999999952,0.407514450867084,0.4952015355086481,0.6923076923076983
2089,0.7097701149425526,0.3195199999999896,0.9374999999999953,0.4132947976878931,0.5067178502879186,0.710059171597639
2090,0.7298850574712876,0.3239999999999896,0.9524999999999955,0.4248554913295113,0.5182341650671891,0.7278106508875797
2091,0.7500000000000226,0.3262399999999896,0.9674999999999956,0.4364161849711294,0.5297504798464596,0.7411242603550352
2092,0.767241379310367,0.3307199999999897,0.9749999999999956,0.4479768786127476,0.5441458733205478,0.7411242603550352
2093,0.7902298850574927,0.3329599999999897,0.9824999999999957,0.4566473988439612,0.5585412667946359,0.7766272189349166
2094,0.807471264367837,0.3351999999999897,0.9974999999999958,0.4653179190751748,0.5700575815739064,
2095,0.8333333333333535,0.3396799999999898,1.004999999999996,0.476878612716793,0.5844529750479945,
2096,0.8505747126436978,0.3419199999999898,1.019999999999996,0.4884393063584112,0.5988483685220827,
2097,0.8591954022988699,0.3441599999999898,1.027499999999996,0.5000000000000293,0.6103646833013532,
